reqId,title,company,hiringOrg,timeType,postedOn,startDate,postingAgeDays,primaryLocation,nLocations,locations,remoteFlag,stateCodes,country,questionnaireId,similarJobsCount,description,descriptionLength,url,detailError,linkedinUrl,linkedinPostedDate,numApplicants,applicantLabel,dateDeltaDays,corroborationStatus,matchMethod,firstSeenDate,corroboratedOn,dumpDate,endDate,daysOnMarket,daysOnMarketBasis,censored,repostCount,lastResetDate,applicationDeadline,daysLeftToApply,workerSubType,jobFamilyGroup,earliestEvidenceDate,crossSourceRepostEvidence,applicantCensored,h1bFilings,h1bWageP25,h1bWageP50,h1bWageP75,h1bMatchBasis,h1bMatchTitle
GP100025195007,Alibaba International-Senior PR Specialist-California,alibaba,Alibaba Group,,Posted 28 Days Ago,2026-08-27,28,Pasadena,1,Pasadena,false,,United States,,0,"PR Specialist for AliExpress in the U.S. market, responsible for day-to-day media relations, PR planning, and managing media inquiries.

1. Able to independently engage with top-tier U.S. tech, business, and consumer media outlets — handling pitching, press releases, and interview coordination
2. Background or deep familiarity with cross-border e-commerce or Chinese tech companies operating overseas
3. Thrives under pressure; self-driven with strong intellectual curiosity
4. Bilingual in English and Chinese",512,https://aidc-jobs.alibaba.com/en/off-campus/position-detail?positionId=100025195007&track_id=SSP1790256975862FrIYpmYaCP7194,,,,,,,no_match,,2026-09-19,,2026-09-24,,28,startDate,true,0,,,,,Integration - Corporate affairs,2026-08-27,,false,,,,,,
GP100024715016,Alibaba.com-Channel Business Development Manager-AI Agent,alibaba,Alibaba Group,,Posted 34 Days Ago,2026-08-21,34,Sunnyvale,1,Sunnyvale,false,,United States,,0,"Key Responsibilities
1. Develop and execute the U.S. channel sales strategy, including partner segmentation, recruitment, and coverage.
2. Identify and onboard high-potential channel partners such as agencies, consultants, service providers, resellers, and other relevant sales channels.
3. Manage the full channel lifecycle from recruitment and onboarding to enablement, activation, and growth.
4. Build and manage channel pipeline, working with partners to generate qualified opportunities and drive conversion.
5. Establish commercial models, incentives, and operating mechanisms that improve partner productivity.
6. Track channel performance and optimize the partner portfolio based on pipeline quality, conversion, and revenue contribution.
7. Gather partner and market feedback to support GTM and product decisions.

The pay range for this position at commencement of employment is expected to be between $148,800/year and $278,400/year. However, base pay offered may vary depending on multiple individualized factors, including market location, job-related knowledge, skills, and experience.
If hired, employee will be in an “at-will position” and the Company reserves the right to modify base salary (as well as any other discretionary payment or compensation program) at any time, including for reasons related to individual performance, Company or individual department/team performance, and market factors.

Qualifications
1. 5+ years of experience in channel sales, channel business development, or partner sales, preferably in SaaS, AI, e-commerce, or technology.
2. Strong U.S. sales channel network and relevant partner resources, with the ability to activate relationships and generate business opportunities.
3. Proven track record of building and scaling channels that deliver measurable pipeline and revenue growth.
4. Strong commercial judgment and experience in channel negotiation, enablement, and performance management.
5. Strong understanding of and genuine interest in AI, with the ability to clearly communicate the value of AI products to channel partners.
6. Hands-on, results-oriented, and comfortable operating in a fast-moving, 0-to-1 environment.
7. Strong communication and stakeholder management skills.
8. Mandarin Chinese preferred for collaboration with China-based teams.",2311,https://aidc-jobs.alibaba.com/en/off-campus/position-detail?positionId=100024715016&track_id=SSP1790256975862qfKXfImIsP6711,,https://www.linkedin.com/jobs/view/4456083361,2026-09-16,38,38 applicants,26,matched,title,2026-09-19,2026-09-19T07:11:21,2026-09-24,,34,startDate,true,0,,,,,Market Development - BD,2026-08-21,,false,,,,,,
GP100003675030,Alibaba.com-Accio-Research Intern (Fall 2026)-Sunnyvale,alibaba,Alibaba Group,,Posted 43 Days Ago,2026-08-12,43,Sunnyvale,1,Sunnyvale,false,,United States,,0,"About our team:
Our team is dedicated to revolutionizing B2B e-commerce through the development of a groundbreaking AI search product. Leveraging cutting-edge LLM technology, we're creating a brand new AI search engine and streamline the entire purchasing process for B2B customers.

Responsibilities
● Deliver full projects by defining the data structure, framework, design, and evaluation metrics for AI solution development and implementation.
● Develop and deploy Large Language Models (LLMs) to empower search and agent systems for a variety of applications.
● Identify new and upcoming product innovation areas by interacting with potential external and internal collaborators.
● Identify undefined problems in existing technology and engage stakeholders and leaders to address them.

Qualifications
● PhD, Master's, or Bachelor's degree in Computer Science, Engineering, Mathematics, or related fields.
● Ability to implement and verify state-of-the-art NLP or Computer Vision algorithms.
● Experience in successfully applying machine learning approaches to real-world personalization problems.
● Experience with building large language models.
● Knowledge of statistical methods, with strong mathematical skills.
● Excellent problem-solving and programming skills in Python.",1282,https://aidc-jobs.alibaba.com/en/off-campus/position-detail?positionId=100003675030&track_id=SSP1790256975862lHMUnPeYyl3936,,https://www.linkedin.com/jobs/view/4369355686,2026-02-06,200,Over 200 applicants,-187,matched,title,2026-09-19,2026-09-19T07:14:14,2026-09-24,,230,startDate+linkedin,true,0,,,,,Technology - Algorithms,2026-02-06,title,true,,,,,,
GP100021935002,Alibaba.com-Category Manager-Sunnyvale,alibaba,Alibaba Group,,Posted 65 Days Ago,2026-07-21,65,Sunnyvale,1,Sunnyvale,false,,United States,,0,"Role Overview:
As a Category Manager, you will be the ""CEO"" of your assigned business categories. You are responsible for the end-to-end growth, strategic direction, and P&L performance of specific vertical markets (e.g., MRO, Construction, or F&B Supplies). You will bridge the gap between global supply capabilities and North American buyer demands, driving selection expansion, pricing strategy, and buyer engagement.

Core Responsibilities:
● Strategic Category Planning: Develop and execute a 12-24 month roadmap for the category. Identify market trends, white-space opportunities, and competitive threats within the B2B landscape.
● Selection & Supply Management: Identify, onboard, and manage high-quality manufacturers and wholesalers. Ensure the selection meets the rigorous standards of professional buyers (e.g., certifications, bulk availability, customization capabilities).
● P&L & Performance Ownership: Own key business metrics including GMV (Gross Merchandise Volume), Take Rate, Selection Depth, and Active Seller/Buyer growth.
● Buyer Persona Insights: Work closely with Marketing to define buyer cohorts (e.g., General Contractors, Restaurant Owners, Facility Managers). Tailor the category experience to solve their specific procurement pain points.
● Product & Catalog Optimization: Partner with Product teams to improve the ""Search-to-Inquiry"" or ""Search-to-Purchase"" flow. Ensure technical specifications, bulk pricing tiers, and shipping attributes are structured for a seamless B2B buying experience.
● Promotional Strategy: Design and lead category-specific events, trade shows (digital/physical), and seasonal campaigns to drive buyer retention and reactivate dormant accounts.

The pay range for this position at commencement of employment is expected to be between $126,000/year and $207600/year. However, base pay offered may vary depending on multiple individualized factors, including market location, job-related knowledge, skills, and experience.

If hired, employee will be in an “at-will position” and the Company reserves the right to modify base salary (as well as any other discretionary payment or compensation program) at any time, including for reasons related to individual performance, Company or individual department/team performance, and market factors.

Required Qualifications:
● Experience: 5+ years of experience in Category Management, Strategic Sourcing, or Merchandising. Experience in a B2B E-commerce marketplace is highly preferred.
● Industry Expertise: Deep knowledge of at least one of the following sectors: Industrial Machinery, Building Materials, Commercial Kitchen Equipment, or Packaging Supplies.
● Analytical Rigor: Proficiency in SQL and Excel. Ability to pivot between high-level strategy and granular data analysis (e.g., cohort retention, SKU-level elasticity).
● Communication: Exceptional negotiation skills and the ability to influence cross-functional stakeholders (Product, Tech, Sales, and Legal).
● Education: Bachelor’s degree required; MBA from a top-tier university is a strong plus.
● AI tools user and AI skills owner.",3103,https://aidc-jobs.alibaba.com/en/off-campus/position-detail?positionId=100021935002&track_id=SSP1790256977395PgKXwAwoTh1358,,,,,,,no_match,,2026-09-19,,2026-09-24,,65,startDate,true,0,,,,,Operation-Merchant & Commodity,2026-07-21,,false,,,,,,
GP100023735009,Alibaba.com-Partner Marketing Expert-Sunnyvale,alibaba,Alibaba Group,,Posted 80 Days Ago,2026-07-06,80,Sunnyvale,1,Sunnyvale,false,,United States,,0,"This strategic role is dedicated to spearheading global brand construction and driving business growth through a partner-led marketing framework. As a Partner Marketing Expert, you will be responsible for ideating, curating, and delivering high-impact, buzz-worthy joint marketing initiatives and co-branded experiential programs. By strategically leveraging the reach and influence of marketing partners, you will amplify Alibaba.com’s ecosystem—including our cutting-edge AI solutions and buyer success stories—positioning them at the forefront of the global market through shared audiences and collaborative storytelling.

Key Responsibilities:
Strategic Partnership Development: Build and evolve marketing partnerships from high-level strategy through to meticulous execution. This includes experiential strategy, marketing rights negotiation, and the development of new partnership programs from the ground up.
AI Solution Branding & Growth: Specifically drive the brand positioning and market adoption of Alibaba.com’s AI solutions within the global retail and e-commerce sectors, leveraging technology to create competitive advantages.
End-to-End Program Management: Oversee the entire lifecycle of marketing activations, including vendor identification, contract negotiation, creative production, on-site management, and post-event ROI analysis.
Stakeholder Orchestration: Act as a central hub between multiple internal stakeholders (Brand Marketing, Sales, Content, PR, Legal, Finance, and Procurement) and external agencies to ensure a unified and integrated approach.
Business Growth Acceleration: Leverage partnerships to drive tangible business growth, ensuring all activations are not just ""buzz-worthy"" but are also effectively pulled through across media, promotions, and sales channels to impact the bottom line.

Academic Background: Bachelor’s degree or higher in Marketing, Business, or a related field.
Professional Standing: Minimum 5-8 years of experience in business development, strategic partnerships, or integrated marketing.
Industry Expertise: Proven track record in the E-commerce, Retail, or AI/Tech sectors. Experience working within the B2B space or with Small Business Owners is highly preferred.
Power Network: Must possess a deep and active network of connections within the global retail and AI ecosystems, with the proven ability to leverage these relationships to build lasting, high-value partnerships.
Knowledge, Skills, and Abilities:
Growth Mindset: Strong experience in business-driven growth and operations, with the ability to turn brand activations into measurable business results.
Strategic & Creative Thinking: Ability to research and recommend innovative solutions, finding creative ways to activate current partnerships and KOLs in the ever-evolving AI and digital landscape.
Exceptional Communication: Extremely proficient in both written and verbal communication; comfortable with public speaking and delivering high-stakes presentations to executive leadership.
Executive Presence: Customer service-oriented demeanor with the ability to influence and lead cross-functional teams and external partners.
Operational Excellence: Outstanding organizational skills, capable of meeting tight deadlines while balancing multiple high-priority projects with consistent attention to detail.
Tech Savviness: Proficient in Microsoft Office suite and CRM software; a natural curiosity for AI tools and their application in business.
Resilience & Agility: Comfort in ambiguity—you are a resourceful problem-solver who can navigate complex environments and seek out new information independently.
Flexibility: Ability to work flexible hours and travel globally as required to manage international programs.",3746,https://aidc-jobs.alibaba.com/en/off-campus/position-detail?positionId=100023735009&track_id=SSP1790256977395QEOAfIZPDP7218,,,,,,,no_match,,2026-09-19,,2026-09-24,,80,startDate,true,0,,,,,Market expansion - Market,2026-07-06,,false,,,,,,
GP300024421,Alibaba.com-Accio-Senior Applied Scientist-Sunnyvale,alibaba,Alibaba Group,,Posted 86 Days Ago,2026-06-30,86,Sunnyvale,1,Sunnyvale,false,,United States,,0,"About our team:
Our team is dedicated to revolutionizing B2B e-commerce through the development of a groundbreaking AI search product. Leveraging cutting-edge LLM technology, we're creating a brand new AI search engine and streamline the entire purchasing process for B2B customers.

Responsibilities
● Deliver full projects by defining the data structure, framework, design, and evaluation metrics for AI solution development and implementation.
● Develop and deploy Large Language Models (LLMs) to empower search and agent systems for a variety of applications.
● Identify new and upcoming product innovation areas by interacting with potential external and internal collaborators.
● Identify undefined problems in existing technology and engage stakeholders and leaders to address them.

Qualifications
● PhD, Master's, or Bachelor's degree in Computer Science, Engineering, Mathematics, or related fields.
● Ability to implement and verify state-of-the-art NLP or Computer Vision algorithms.
● Experience in successfully applying machine learning approaches to real-world personalization problems.
● Experience with building large language models.
● Knowledge of statistical methods, with strong mathematical skills.
● Excellent problem-solving and programming skills in Python.

The pay range for this position at commencement of employment is expected to be between $162,400/year and $266,000/year. However, base pay offered may vary depending on multiple individualized factors, including market location, job-related knowledge, skills, and experience.

If hired, employee will be in an “at-will position” and the Company reserves the right to modify base salary (as well as any other discretionary payment or compensation program) at any time, including for reasons related to individual performance, Company or individual department/team performance, and market factors.",1879,https://aidc-jobs.alibaba.com/en/off-campus/position-detail?positionId=300024421&track_id=SSP1790256977395yxJvRGgRTt8049,,https://www.linkedin.com/jobs/view/4369106945,2026-02-05,58,58 applicants,-145,matched,title,2026-09-19,2026-09-19T07:11:20,2026-09-24,,231,startDate+linkedin,true,0,,,,,Technology - Algorithms,2026-02-05,title,false,,,,,,
GP100037340001,Alibaba Cloud-Site Reliability Engineer-Sunnyvale,alibaba,Alibaba Group,,Posted Today,2026-09-24,0,Sunnyvale,1,Sunnyvale,false,,United States,,0,"The mission of the Cloud Intelligence Group SRE (Site Reliability Engineering) Team is to ensure the stability of production environments, enterprise-grade cloud data reliability, and service continuity for the Cloud Intelligence Group. Our greatest challenge lies in guaranteeing uninterrupted business operations for cloud-based customers and achieving availability that exceeds 99.99%.

Objectives of the Cloud Intelligence Group SRE Team

Our goal is to establish a systematic stability assurance framework that integrates technology and management, including but not limited to:
1. Developing stability standards and metrics
* Covering robust architecture, R&D quality, release management, production environment operations, and more.
* Embedding stability into Alibaba Cloud’s technical R&D system.
2. Driving major stability governance campaigns
* Initiatives such as full-stack disaster recovery, phased change rollout, the 1-5-10 emergency response mechanism (1-minute alerting, 5-minute triage, 10-minute recovery), and financial-loss prevention.
* Rapidly and continuously mitigating stability risks.
3. Building a stability-focused technical platform
* Platform capabilities for unattended change management, red/blue team drills, emergency collaboration, risk and vulnerability inspection, and monitoring/alerting.
* Simplifying stability engineering through automation and tooling.
4. Executing production incident management
* Emergency response, cross-team coordination, root cause analysis, rapid recovery, and post-incident reviews to drive systemic improvements.
5. Ensuring stability for large-scale customer events
* Technical and operational support for critical activities such as Olympics and customer business peak periods.
6. On-call responsibilities
* Responding to customer issues within Service Level Agreement (SLA) timeframes, resolving problems proactively, and enhancing customer experience.

Responsibilities
The objective of the Cloud Intelligence Group's SRE team is to establish a systematic stability assurance framework that integrates technology and management, including but not limited to:
1. Daily operations and maintenance of applications, databases, and middleware, as well as troubleshooting and answering customer inquiries;
2. Collaborating with R&D to develop critical support plans based on customer business requirements during peak periods, including preparation during the standby period, on-duty support during critical periods, and post-standby review;

Minimum qualification:
- A degree in Computer Science or related field
- 3 years of experience as a Site Reliability Engineer (SRE) or above.
- Proficiency with Linux environments or cloud infrastructure
- Exceptional system diagnostic and problem-solving skills
- Strong teamwork spirit and ability to work well under pressure

Preferred qualification:
- In-depth understanding of Kubernetes or monitoring systems
- Expertise in programming languages such as Golang, Python, or Java
- Experience in designing and implementing distributed systems

The pay range for this position at commencement of employment is expected to be between $104,400 and $171,000/year. However, base pay offered may vary depending on multiple individualized factors, including market location, job-related knowledge, skills, and experience.

If hired, employee will be in an “at-will position” and the Company reserves the right to modify base salary (as well as any other discretionary payment or compensation program) at any time, including for reasons related to individual performance, Company or individual department/team performance, and market factors.",3648,https://careers.alibabacloud.com/en/off-campus/position-detail?positionId=100037340001&track_id=SSP1790256978198bvnCKbNloJ2212,,,,,,,no_match,,2026-09-24,,2026-09-24,,0,startDate,false,0,,,,,,2026-09-24,,false,7,140910,149365,166774,subset,Site Reliability Engineer
GP100037380001,Alibaba Cloud-Senior Security Engineer - Network Security and Product Security-Sunnyvale,alibaba,Alibaba Group,,Posted 1 Days Ago,2026-09-23,1,Sunnyvale,1,Sunnyvale,false,,United States,,0,"The Alibaba International Cloud Product Security Team is entrusted with the core mission of safeguarding the secure operation of the cloud platform and protecting the business and data security of our customers. We are committed to building a trusted cloud security environment for customers worldwide, enabling their businesses to operate securely and grow sustainably on Alibaba Cloud.

Responsibilities
1. Responsible for emergency response and incident tracing for security incidents on the Alibaba Cloud platform side, covering both the office network and the production network.
2. Responsible for the detection, emergency response, and tracing of internal and external DDoS attack incidents against Alibaba Cloud; formulate and drive the implementation of mitigation plans; and govern botnet and DDoS issues on the cloud.
3. Effectively manage and defend against tenant-side attack incidents on the Alibaba public cloud platform, continuously strengthen defense capabilities, and prevent large-scale security incidents or systemic security risks from occurring on the public cloud platform.
4. Responsible for building product-level security defense capabilities: develop, deploy, and operate security defense tools; help business teams raise the default security baseline and reduce their security exposure surface.
5. Vulnerability tracking and emergency response: track and analyze newly disclosed vulnerabilities in the industry, assess their impact scope, and drive emergency response; design remediation plans and mitigation measures; and provide general-purpose security technical support and solutions for cloud products.
6. Responsible for security approval of routine configuration changes to cloud products, and provide security guidance and recommendations.
7. Responsible for building information-security capabilities and enforcing security policies for the office network, including anti-virus protection, vulnerability remediation, access control, and endpoint security for employees' computers, so as to guard against cyber attacks and data-leak risks.
8. Support routine security inspections and technical assistance work required by local regulators.

Qualifications
1. Possess a solid foundation in computer networking, with a thorough understanding of the layers of the TCP/IP protocol suite (such as IP, TCP, UDP, ICMP, etc.); able to precisely analyze the structure of network packets, transmission flows, and anomalies; and well-versed in key networking principles such as routing algorithms at the network layer and connection establishment/termination mechanisms at the transport layer.
2. Proficient in the mechanisms and principles of common DDoS attack types, including network-layer flood attacks such as SYN Flood, UDP Flood, and ICMP Flood; application-layer resource-exhaustion attacks such as HTTP Flood and DNS Query Flood; as well as emerging hybrid attack patterns and DDoS techniques that exploit vulnerabilities.
3. Familiar with DDoS defense technologies and with the underlying principles of techniques such as traffic scrubbing and blackholing; able to design effective defense strategies to safeguard the business.
4. Proficient in at least one mainstream programming language such as Python or C/C++, with the ability to develop custom detection, defense, and operations scripts.
5. Familiar with the fundamentals of big-data technologies; hands-on experience using such technologies to mine DDoS attack patterns and anomalous features from network traffic data is a plus.
6. Familiar with the network architecture and security mechanisms of cloud computing / cloud platforms or large-scale network environments; prior experience in DDoS defense design, deployment, and defense-policy operations on a cloud platform or a large offline network (with more than 5,000 nodes) is a plus.
7. Familiar with common security offense-and-defense techniques and the principles of common vulnerabilities, with in-depth research and demonstrable results in at least one specialized area, such as web security, host security (Windows / Linux / Mobile OS, etc.), deep learning (e.g., natural language processing), container security, vulnerability analysis and exploitation, network-traffic security, or cloud security.

The pay range for this position at commencement of employment is expected to be between $104,400 and $171,000/year. However, base pay offered may vary depending on multiple individualized factors, including market location, job-related knowledge, skills, and experience.

If hired, employee will be in an “at-will position” and the Company reserves the right to modify base salary (as well as any other discretionary payment or compensation program) at any time, including for reasons related to individual performance, Company or individual department/team performance, and market factors.",4847,https://careers.alibabacloud.com/en/off-campus/position-detail?positionId=100037380001&track_id=SSP1790256978198wzCLkvbVAY2173,,,,,,,no_match,,2026-09-24,,2026-09-24,,1,startDate,false,0,,,,,,2026-09-23,,false,,,,,,
GP100037420001,Alibaba Cloud-Office Network Operations and Maintenance Engineer-Sunnyvale,alibaba,Alibaba Group,,Posted 1 Days Ago,2026-09-23,1,Sunnyvale,1,Sunnyvale,false,,United States,,0,"The Alibaba International Cloud Product Security Team is entrusted with the core mission of safeguarding the secure operation of the cloud platform and protecting the business and data security of our customers. We are committed to building a trusted cloud security environment for customers worldwide, enabling their businesses to operate securely and grow sustainably on Alibaba Cloud.

Responsibilities
1. Responsible for the architecture design, implementation, and day-to-day operations and maintenance of the office network, ensuring stable, secure, and efficient network operation.
2. Responsible for the planning, adjustment, and optimization of office network policies, including security policies, network access (admission) policies, and so on.
3. Responsible for building office network monitoring, automation, visualization, and the network operations platform, so as to improve operational efficiency and observability.
4. Responsible for daily issue handling, change management, routine inspections, emergency response, and disaster-recovery drills for the office network, and drive the standardization of O&M processes.
5. Responsible for network planning, cabling, equipment deployment, and system commissioning for new offices, and support projects such as office relocation and capacity expansion.

Qualifications
1. Bachelor's degree or above, majoring in Computer Science, Electronic Engineering, or a related field.
2. 3+ years of network-related work experience; prior experience in network construction and operations at a large global Internet company is preferred.
3. Proficient in enterprise networking architecture, with a deep understanding of TCP/IP. Solid command of mainstream networking technologies and protocols such as OSPF, BGP, VXLAN, and 802.11x.
4. Proficient in the administration, operations, and performance tuning of mainstream data-communications and network-security vendor equipment.
5. Familiar with Linux operating systems, and able to write automation tools in at least one programming language such as Go or Python.
6. Strong service orientation and communication skills, excellent learning ability, strong analytical and problem-solving skills, and a good team spirit.

Preferred Qualification: Cisco CCNP certification.

The pay range for this position at commencement of employment is expected to be between $104,400 and $171,000/year. However, base pay offered may vary depending on multiple individualized factors, including market location, job-related knowledge, skills, and experience.

If hired, employee will be in an “at-will position” and the Company reserves the right to modify base salary (as well as any other discretionary payment or compensation program) at any time, including for reasons related to individual performance, Company or individual department/team performance, and market factors.",2864,https://careers.alibabacloud.com/en/off-campus/position-detail?positionId=100037420001&track_id=SSP1790256978198nWuaMsptej8836,,,,,,,no_match,,2026-09-24,,2026-09-24,,1,startDate,false,0,,,,,,2026-09-23,,false,,,,,,
GP100015403017,Alibaba Cloud Intelligence-Technical Account Manager-US (Sunnyvale),alibaba,Alibaba Group,,Posted 1 Days Ago,2026-09-23,1,Sunnyvale,1,Sunnyvale,false,,United States,,0,"Technical Account Manager (TAM) is a customer service interface role. TAM is responsible for the stability of the customer's cloud business and the overall growth, quality, and satisfaction of customer service relationships. TAM works closely with the Alibaba Cloud team to ensure that customer requests, issues, and features receive timely attention and priority handling.

Standardized Operations
• Maintain the stability of the customer's cloud platform through risk governance, product changes and upgrades, and emergency response to faults;
• Continuously optimize resources and performance to help customers improve cloud efficiency;
• Drive the continuous improvement of cloud product operation capabilities from the user's perspective, reduce the difficulty of cloud platform operations, and enhance customers' ability to maintain their cloud platform.

Standardized Cloud Migration
• Assist customers in business migration to the cloud, make good use of the cloud by providing technical services such as application/big data architecture design, database localization, application/big data performance tuning, data governance, and data platform construction, and offer best practices and solutions for cloud products in industry applications.

Cloud Optimization (Public Cloud)
• Build and optimize system architecture, establish business disaster recovery capabilities, design and implement monitoring systems, and guide regular disaster recovery drills to improve the stability and reliability of cloud-based business, ensuring system performance and response speed under high concurrency;
• Implement intelligent monitoring and early warning to enhance customer business efficiency and user experience.

Standardized Technical Operations
• Provide comprehensive cloud technology support, cost optimization, maturity assessment and consulting, compliance and security reinforcement services through standardized technical operation capabilities to enhance the efficiency and security of customers' cloud business.

Expert Services
•Provide customers with best practices, solution consulting, and services for Alibaba Cloud intelligent products;
•Combine customer cloud usage scenarios to help customers improve cloud product operation and usage skills through tools to assist customers in successfully migrating to cloud.

• Over 5 year of experience in solution design, architecture, backend development, delivery, or operations for large-scale internet applications or enterprise-level systems in industries such as internet or finance
• Possesses a technical background with hands-on experience in developing or operating large-scale applications based on cloud products
• Possesses technical understanding and hands-on experience in one or more domains including cloud-native technologies, big data, databases, networking, and middleware.
• Masters the underlying architecture of core products within the supported business lines.
• Proficient in the specialized technical competencies required by the supported business lines.
• Understands cross-product system architectures and is capable of performing solution design or troubleshooting based on this expertise.
• Accurately identifies and categorizes customers and key stakeholders, establishing tailored response strategies for different customer segments.
• Creates a constructive communication atmosphere, focuses on key discussion points, listens effectively, and articulates messages clearly.
• Demonstrates strong service orientation—commits to fully resolving customer issues from start to finish and ensures high customer satisfaction.
• In specific domains, capable of engaging in prepared, professional communication with senior-level client executives.
• Possesses operations technology management capabilities, capable of conducting comprehensive reviews of customer business architectures and providing cloud best-practice recommendations.
• Acts as the primary owner for customer technical projects, including operational assurance, technical transformation, and stack migration initiatives.
• Assists customers in resolving complex technical issues and demonstrates strong capability to drive technical execution on the customer side.
• Exhibits systematic and holistic solution design and architecture skills, able to deliver reliable solutions in complex technical environments.
• Capable of decomposing complex technical challenges into manageable components, formulating integrated technical assessments and resolution strategies.
• Familiar with practical case studies across common business scenarios; able to tailor optimization solutions—including high availability enhancement, cloud operations assurance, capacity planning, architectural refinement, disaster recovery setup, cost evaluation and optimization—based on customer-specific contexts, proactively identify risks, and effectively implement tailored solutions.",4913,https://careers.alibabacloud.com/en/off-campus/position-detail?positionId=100015403017&track_id=SSP1790256978198luiPgdkviT8471,,,,,,,no_match,,2026-09-24,,2026-09-24,,1,startDate,false,0,,,,,,2026-09-23,,false,,,,,,
