questionnaireId,instructions,questionId,order,question,required,type,answers
245b5707c689012f764051864a479b62,,245b5707c689019c224a51864a479c62,a,How many years of relevant experience do you have in relation to the position that you are applying?,false,Text,
245b5707c689015920654a864a478f62,,245b5707c689011d068b4a864a479062,a,How many years of relevant experience do you have in relation to the position that you are applying?,true,Text,
245b5707c689015920654a864a478f62,,245b5707c6890128879f4a864a479162,b,Is your current manager and/or your HR manager aware and supportive of you being considered for this role? (Your current manager and HR manager may be contacted at any point during this process.),true,Multiple Choice - Single Select,Yes; No
486e7eae2ec010010fbd9675081a0000,,486e7eae2ec0100111217055638f0000,a,How did you hear about this opportunity?,false,Multiple Choice - Single Select,"Career Fair/Campus Event; Campus Career Services; Online Career Site (Handshake, LinkedIn, RippleMatch); Professor/Faculty Member; Current/Past Co-Op, Intern, or Development Program Associate; Family/Friend"
486e7eae2ec010010fbd9675081a0000,,486e7eae2ec010010fbd970e9f570000,b,Are you 18 years of age or older?,true,Multiple Choice - Single Select,Yes; No
486e7eae2ec010010fbd9675081a0000,,486e7eae2ec010010fbd97a82c390000,c,Do you now require sponsorship for employment visa status (e.g. H-1B visa status)?,true,Multiple Choice - Single Select,Yes; No
486e7eae2ec010010fbd9675081a0000,,486e7eae2ec010010fbd97a82c390003,d,"Will you in the future require sponsorship for employment visa status (e.g. H-1B, F-1, OPT, CPT visa status)?",true,Multiple Choice - Single Select,Yes; No
486e7eae2ec010010fbd9675081a0000,,486e7eae2ec010010fbd97a82c390006,e,Are you willing to undergo a background check and drug screen as a condition of employment?,true,Multiple Choice - Single Select,Yes; No
486e7eae2ec010010fbd9675081a0000,,486e7eae2ec010010fbd9841ce040002,f,Have you ever been employed as a regular employee (including co-op/interns) or via a Staffing Agency by GE Appliances or any GE Appliances Affiliates?,true,Multiple Choice - Single Select,Yes; No
486e7eae2ec010010fbd9675081a0000,,486e7eae2ec010010fbd9841ce040005,g,Are you subject to a non-compete or have an employment agreement with another employer that would prevent you from being employed by GE Appliances or GE Appliances Affiliates?,true,Multiple Choice - Single Select,Yes; No
486e7eae2ec010010fbd9675081a0000,,486e7eae2ec010010fbd98db75930001,h,"I consent and acknowledge that as part of the GE Appliances recruitment process, GE Appliances may contact me regarding my application, the progress of my application, and my involvement in the recruitment process, including, but not limited to, surveys after the process.",true,Multiple Choice - Single Select,Yes; No
486e7eae2ec010010fbd9675081a0000,,486e7eae2ec010010fbd98db75930004,i,Do you agree that GE Appliances may send you text messages solely for the purpose of communicating details of jobs you may be interested in or have applied for? Message and data rates may apply.,true,Multiple Choice - Single Select,Yes; No
486e7eae2ec010010fbd9675081a0000,,486e7eae2ec010010fbd98db75930007,j,What degree are you currently pursuing?,true,Multiple Choice - Single Select,Associates; Bachelors; Masters; PhD; Juris Doctor (J.D.); Not currently pursuing a degree
486e7eae2ec010010fbd9675081a0000,,486e7eae2ec010010fbd9974f9f10006,k,What is your major?,true,Text,
486e7eae2ec010010fbd9675081a0000,,486e7eae2ec010010fbd9a0e89540000,l,What is your minor (if applicable)?,false,Text,
486e7eae2ec010010fbd9675081a0000,,486e7eae2ec010010fbd9a0e89540001,m,Are you willing to relocate?,true,Multiple Choice - Single Select,Yes; No
